Teks_Komentar,teks_final,sentiment
"How ""KaburAjaDulu"" became common way over generations in Indonesia : Corruption    Corruption in Indonesia is a complex issue rooted in historical, cultural, political, and economic factors. It has persisted across generations due to several key reasons:    1. Historical Legacy    - During the colonial period (Dutch rule), corruption was already present in governance structures.  - Under Suharto’s New Order (1967–1998), corruption became institutionalized as he maintained power by distributing wealth and positions to elites.    2. Weak Legal Enforcement    - Laws exist, but enforcement is inconsistent.  - Many powerful individuals escape justice due to political connections or bribery.    3. Culture of Patronage (Nepotism & Favoritism)    - ""Bapakisme"" (fatherly leadership) and gotong royong(mutual assistance) can sometimes blur the lines between loyalty and corruption.  - Many politicians and businesspeople maintain networks where favors and kickbacks are expected.    4. Low Wages in Public Sector    - Many civil servants, police, and government officials receive low salaries, making them more susceptible to bribes.    5. Weak Education on Ethics    - Anti-corruption values are not deeply ingrained in the education system.  - Many people see corruption as a way to survive or advance in life.    6. Public Tolerance & Normalization    - Small-scale corruption, such as bribing traffic police or paying for government services under the table, is often seen as normal.  - When the public tolerates corruption, it becomes harder to eradicate.    Political and Business Interests    - Many politicians fund their campaigns through corrupt means and later ""pay back"" their investors through government contracts or policies.  - Big businesses often collude with officials to win contracts or avoid regulations.    How It Passes Through Generations    1. Role Models – Younger generations see corrupt practices as a ""normal"" way to get ahead.    2. Family Influence – Some political and business families pass down their power and corrupt networks.    3. Weak Law Enforcement – Without serious consequences, corruption remains attractive.    4. Economic Pressures – In tough times, people prioritize survival over integrity.    Can It Be Stopped?    Yes, but it requires:  - Strong law enforcement & independent judiciary  - Better education on ethics & integrity  - Higher salaries for public officials  - More transparency in government transactions  - Public awareness & zero tolerance for corruption",kaburajadulu became common way generations indonesia corruption corruption indonesia complex issue rooted historical cultural political economic factors persisted across generations due several key reasons historical legacy colonial period dutch rule corruption already present governance structures suharto new order corruption became institutionalized maintained power distributing wealth positions elites weak legal enforcement laws exist enforcement inconsistent many powerful individuals escape justice due political connections bribery culture patronage nepotism favoritism bapakisme fatherly leadership gotong royong mutual assistance sometimes blur les loyalty corruption many politicians businesspeople maintain networks favors kickbacks expected low wages public sector many civil servants police officials receive low salaries making susceptible bribes weak education ethics anti corruption values deeply ingrained education many people see corruption way survive advance life public tolerance normalization small scale corruption bribing traffic police paying services table often seen normal public tolerates corruption becomes harder eradicate political business interests many politicians fund campaigns corrupt means later pay back investors contracts policies big businesses often collude officials win contracts avoid regulations passes generations role models younger generations see corrupt practices normal way get ahead family influence political business families pass power corrupt networks weak law enforcement without serious consequences corruption remains attractive economic pressures tough times people prioritize survival integrity stopped yes requires strong law enforcement independent judiciary better education ethics integrity higher salaries public officials transparency transactions public awareness zero tolerance corruption,Positif
"Gw sih udh muak ngeliat pemerintahan disini...pejabatnya hanya bisa korup dan bacot doang. Kewajiban rakyat aja yg dituntut, pajak terus dikejar, ar pajaknya hanya bisa berburu di akuarium, bukannya cari wp baru. Si pejabat anjing bilangnya ga nasionalis dll, lo sendiri korup... Hak kita sebagai rakyat mana??? Jalan raya/tol aja msh tambal sulam... Seandainya gw thanos, gw hialngkan semua koruptor, org mabok agama dan orang bodoh di negara ini...",muak lihat perintah jabat korup bacot doang wajib rakyat tuntut pajak kejar pajak buru akuarium bukan cari jabat anjing bilang tidak nasionalis dll korup hak rakyat jalan raya tol tambal sulam thanos hialngkan koruptor orang mabok agama orang bodoh negara,Positif
"hahahaha, lu kan kabur duluan",hahahaha kabur duluan,Netral
"Solusi paling gampang cuma ngomong ""Anda tidak nasionalis"" kata pejabat tolol",solusi gampang ngomong tidak nasionalis jabat tolol,Positif
Kok jokowi kaga disebut.... Mas panji.... Memang skarang lebih sulit cari kerja... Apalagi banyak phk... Tau engga mas panji sekarang sektor f&b makin turun omsednya .... Karena sepi tapi yah... Terserah orang berpikir... Apa tapi Indonesia lagi sulit..... Koruptor bnyak diindonesia.... Mungkin mahasiswa demo hukum mati koruptor....,jokowi tidak mas panji skarang sulit cari kerja phk tidak mas panji sektor turun omsednya sepi yah serah orang pikir indonesia sulit koruptor indonesia mahasiswa demo hukum mati koruptor,Positif
NGELAWAK AJA LU BRO LEBIH COCOK 😂,ngelawak cocok,Netral
"percaya lah,soal korupsi di indonesia udah gak ada obat nya,kecuali itu smua penjabat DPR di habisin semua,ibarat nya harus di reset factory lah gitu,saya dan istri juga sudah punya planning utk move ke amerika tahun depan setelah anak saya selesai TK dsini,saya gak bs bayangin gimana nasib anak saya nanti kalo udah dewasa kalo indo kayak gini terus...kasian klo anak harus ngalamin yg sama seperti saya skrg",percaya korupsi indonesia tidak ada obat kecuali jabat dpr habis reset factory gitu istri planning move amerika anak selesai dsini tidak bayang gimana nasib anak dewasa indo gin kasi anak ngalamin,Positif
bro ini adalah wujud asli kabur aja dulu,wujud asli kabur,Netral
"AKu udah kabur sejak 1993, di kampung aku dibulying dan selalu dibikin biar tetap miskin bareng. Skr banyak yg ingin mengikuti langkahku. Krn frustrasi semua hukum rusak, Th 70 an aku sll dibulying krn miskin. Nilai sekolah SD ku paling baik tapi di akhir th krn ngak berduit, tetanggaku yg org kaya atau ada bisikan aku jadi ngak dpt juara. jadi dari dulu negara kita gampang di tombak tombok.",kabur kampung bully miskin bareng langkah frustrasi hukum rusak bully miskin nilai sekolah tidak duit tetangga orang kaya ada bisik tidak juara negara gampang tombak tombok,Positif
"yang bilang orang yg Kabur Aja Dulu tidak nasional, terakhir berobat ke luar negri juga tuh",bilang orang kabur tidak nasional obat luar negeri,Positif
"Sedikit koreksi. Para eksil karena peristiwa 1965, mereka tidak kabur melainkan tidak bisa pulang. Dalam kondisi lain, mereka dimungkinkan pulang tapi dengan konsekuensi mendapat persekusi dari negara (dicabut hak-hak sipilnya) karena pilihan politiknya sehingga mereka memilih tidak pulang.",koreksi eksil peristiwa tidak kabur tidak pulang kondisi pulang konsekuensi persekusi negara cabut hak hak sipil pilih politik pilih tidak pulang,Netral
"Penciptaan lapangan kerja formal yg bermasalah bukannya dibenahi, minat berinvestasi di indo kian tahun kian turun/buruk.",cipta lapang kerja formal bukan benah minat investasi indo kian kian turun buruk,Positif
kayaknya para pemimpin di negri ini dipilih bukan karena kemampuan nya. kayaknya kok stress banget sampe ditanya wartawan gtu doang jawabannya wadaw banget,pimpin negeri pilih tidak stress banget wartawan wadaw banget,Positif
"Kabur aja,kita berjuang di sini untuk good goverment,ketika itu terjadi org indonesia mendunia",kabur aja juang good goverment orang indonesia dunia,Negatif
"hahaha... jd ingt, di polres kota gw tinggal ""Air Cukup"" (bhs sunda). ada tulisan yg intinya nginfoin ""BEBAS CALO"". Eh taunya pas dftr perpnjg SIM, petugasnya yg nawarin jalur cpt.. Adalah gw lg nunggu foto, udh duduk di bangku plg dpn, tinggal nunggu org yg difoto kelar trs giliran gw, tb2 dtg polisi bw org, diduluin orgnya, mnding 1, ini 3.. wkwkwk..",hahaha ingt polres kota tinggal air bhs sunda ada tulis inti nginfoin bebas calo pas dftr perpnjg sim tugas tawar jalur cpt tunggu foto duduk bangku dpn tinggal tunggu orang foto kelar gilir dtg polisi org diduluin orgnya mending,Positif
Itu adalah hak seseorang .. tapi itu juga sebuah tamparan tegas .. bagi pemerintahan.. kenapa itu bisa terjadi..,hak orang buah tampar perintah,Positif
Bang Panji.. Seriusan aku jd takut pulang ke Indonesia. Lihat berita2 perekonomian yg lagi carut marut.,panji serius takut pulang indonesia lihat berita ekonomi carut marut,Positif
"Jadi inget, aku dapet kerja di Thailand gara2 dapet gibahan loker karena gak ada yang bisa berangkat, ya karena harus berangkat kurang dari seminggu.",inget kerja thailand gara gibah loker tidak ada berangkat berangkat minggu,Positif
"di china jg ad yg pd kabur aja dulu jaman pki, ad 1 desa orang2 ngungsian dr indonesia",china ada kabur jaman pki ada desa orang ngungsian indonesia,Netral
"Setuju, don't ask what your country can do for you but ask what you can do for your country?,,,,",setuju ask country ask country,Negatif
Banyak juga orang AS curhat di youtube mereka frustasi tinggal di AS dan ada beberapa mereka pilih Indonesia 😂😂😂.,orang curhat youtube frustasi tinggal ada pilih indonesia,Negatif
"33:40 bener banget sih bang ""menggambarkan intelektual kita""",bener banget gambar intelektual,Netral
"Loe kuliah di konoha Di universitas ternama Nyampe di luar negri kagak ada arti nya Masih dibawah standar loe semua....., Makanya diatas langit masih ada langit, Saingan loe Dunia brooooo, Artis di indo nyampe di Luar Negri loe ngak ada arti nya apa apa ....., Makanya Jgn SOMBONG jadi Manusia.",kuliah konoha universitas nama luar negeri tidak ada arti standar langit ada langit saing dunia brooooo artis indo luar negeri tidak ada arti tidak sombong manusia,Negatif
setuju bro kalau gw jg main di 𝗃𝗉𝗍𝗈𝗀𝖾𝗅77 gacir,setuju main jptogel gacir,Netral
"Bang,, mending bikin video tutorial gimana caranya out from here n survive di luar negri. Spya pmrintah² yg pengecut, pjbat² bi a dab, oligarki² an j ing & penegak² hkum ba jingan  tu TAU RASA ditinggalin ama sapi perahnya alias rakyat..",mending bikin video tutorial gimana survive luar negri spya pmrintah kecut pjbat dab oligarki ing tegak hkum jingan ditinggalin sapi perah alias rakyat,Positif
"pertamina tolong demo, buat dirut biar di hukum mati",pertamina tolong demo dirut hukum mati,Negatif
Saya di jepang tapi masih mantau Indonesia..😊,jepang mantau indonesia,Positif
Related banget lagi totototot minta dibukain jalan HAHA,related banget totototot dibukain jalan,Netral
Kabur Aja dulu banyakan yg gak mau balik 😂,kabur tidak,Positif
"ya mau gmn lg, biaya utk pesta demokrasi mahal...balikin modal pst lbh mahal, masa cm balik modal gk dpt untung?   ya korupsi adalah jln keluar..",gimana biaya pesta demokrasi mahal balikin modal pst mahal modal tidak untung korupsi jln,Positif
"PAJAK DI KORUP MINYAK DI KORUP LISTRIK DI KORUP GAS DI KORUP KALO BISA UDARA DI KORUP.   Tapi tenang, wakanda ini sebagian besar SDM RENDAH, nanti juga lupa. udah miskin, bodoh, pelupa pula, pantes aja koruptor nyaman.",pajak korup minyak korup listrik korup gas korup udara korup tenang wakanda sdm rendah lupa miskin bodoh lupa koruptor nyaman,Positif
Mau kabur belum punya modal 😭,kabur tidak modal,Positif
tutor kabur ke LN pan,tutor kabur luar negeri pan,Positif
"Benar bangat om. Apa lagi buat kami yg disabilitas ini. Kesempatan kami lebih kecil. Mau kabur, tak ada daya dan upaya. Hari ke hari bagai makan empedu kami rasakan disini.😢",bangat disabilitas kabur ada daya upaya makan empedu,Positif
"Orang secerdas bang pandji jadi Pelawak, Orang selawak bahlil jadi Mentri",orang cerdas pandji lawak orang lawak bahlil menteri,Positif
"Ga usah jauh2 Bang, nonton Coldplay di Indonesia harganya lebih mahal 2x lipat dr Singapura, tapi kacau.. banyak yg pny tiket ga bs masuk. Yg kemaren DWP, bisa2nya penonton asing dipalakin 1312, KOK BISA BANG???!! Mau cinta sama negara ini tuh susaaaaaah bgt Bang.. 😢",tidak nonton coldplay indonesia harga mahal lipat singapura kacau tiket tidak masuk kemarin dwp tonton asing pungut cinta negara susaaaaaah banget,Positif
Di bilang loker banyak iya banyak Lawan nya orang dalem atau enggak bayar atau loker sembunyi2 gak di publish ke publik Lebih parah nya lagi banyak loker penipuan Gua kirim cv 5nya loker penipuan ada lagi sistem affiliate kerja freelance lewat website daftar aku pake nomor hp masukin kode redeem dapet saldo ujung2 suruh topup pasti ngerugiin kita,bilang loker iya lawan orang tidak bayar loker sembunyi tidak publish publik parah loker tipu kirim loker tipu ada sistem affiliate kerja freelance website daftar pakai nomor masuk kode redeem saldo ujung suruh topup rugi,Positif
Di era modern aplgi Sepak Bola pindah warga negara utk 1 pekerjaan ato bidang professional yg ssorg tekuni soal pindah wrga negara punya pertimbangan yg matang timbang timbangan utk biaya hidup nya. Tpi tidak bisa menghilangkan ke cintaan ssorg utk bngsanya sendiri warga negara nya,era modern aplgi sepak bola pindah warga negara kerja bidang professional orang tekun pindah wrga negara timbang matang timbang timbang biaya hidup tidak hilang cinta orang bngsanya warga negara,Netral
kukira MACAN ASIA ternyata MACAN SIRKUS 🥲,macan asia nyata macan sirkus,Positif
"Nih liat nih, panji aja yang dulu kabur ke us akhirnya balik karena gagal di us, karirnya gk berhasil. Panji loh, apa kabar kalian yg rame doang di sosmed mau kabur2an, jadi gelandangan kalian di luar negeri. Nyusahin kedutaan, jadi tanggungan lagi. Yg fomo2 kabur, noh fomo sama orang gaza noh, sekalian kabir ke akhirat.",lihat panji kabur gagal karirnya tidak hasil panji loh kabar rame sosmed kabur gelandang luar negeri nyusahin duta tanggung fomo kabur noh fomo orang gaza noh kabir akhirat,Negatif
"Dasar para penghianat bangsa, dikasih kepintaran sedikit dari yang lain, bukannya digunakan untuk memajukan negara Indonesia, malah lebih memilih untuk memajukan negara lain, rasa nasionalisme anda dimana?  Kalau ada yang salah dengan Indonesia ya perbaiki, bukan malah melarikan diri   Para pejuang mengorbankan nyawanya demi Indonesia, generasi sekarang bermental lemah, berjuang demi mengisi kemerdekaan aja ngak mau, malah lebih memilih kabur dari tanggung jawab sebagai warga negara Indonesia",dasar penghianat bangsa pintar bukan maju negara indonesia pilih maju negara nasionalisme ada salah indonesia tidak lari juang korban nyawa indonesia generasi mental lemah juang isi merdeka tidak pilih kabur tanggung warga negara indonesia,Negatif
"Dasar para penghianat bangsa, dikasih kepintaran sedikit dari yang lain, bukannya digunakan untuk memajukan negara Indonesia, malah lebih memilih untuk memajukan negara lain, rasa nasionalisme anda dimana?  Kalau ada yang salah dengan Indonesia ya perbaiki, bukan malah melarikan diri   Para pejuang mengorbankan nyawanya demi Indonesia, generasi sekarang bermental lemah, berjuang demi mengisi kemerdekaan aja ngak mau, malah lebih memilih kabur dari tanggung jawab sebagai warga negara Indonesia",dasar penghianat bangsa pintar bukan maju negara indonesia pilih maju negara nasionalisme ada salah indonesia tidak lari juang korban nyawa indonesia generasi mental lemah juang isi merdeka tidak pilih kabur tanggung warga negara indonesia,Negatif
"Bang, sekarang cari kerja selain harus bisa Bahasa Inggris harus bisa Bahasa lain, Mandarin, Jepang, Korea, dsb. Tau begini waktu kuliah kabur aja dulu 😢",cari kerja bahasa inggris bahasa mandarin jepang korea dsb kuliah kabur,Positif
"nyesek udahan liat kondisi negara ini kalo bagi gw. udah diposisi nangis dibatin, udah ampir pasrah ama pemerintah yg susah bgt buat ngertiin rakyatnya. Udah capek aja. Ngeluhlah sekali"" gw disini biar plong. Cape cuy belaga baik"" aja di kerjaan ama kehidupan ini.  Kuliah sampai S-1 lulus honorer, perbulan 1 jt. Daftar PPPK sejauh ini blm beruntung. Ditambah rasanya nyesek jadi sandwich generation, dan uang ga kekumpul sama sekali, abis buat ortu dan adik yg kuliah. Harrga naik, UMR sama aja. Ga balance. Sedang, disana diluar kerja bersihin rumput aja gajinya bisa buat bikin rumah cuy. Mau ikut Kabur aja dlu niat memperbaiki ekonomi terhalang ekonomi. Nglamar sana sini dari 2024- saat ini yg gajinya diatas honorer, hasilnya nol. 80% pabrik gw lamar ga ada kabar abis interview, sisanya syarat ga pernah tercukupi. Rasanya kek nyesek aja di Indonesia syaratnya.  Usia segini, pengalaman segitu, gaji becanda. Bayar pajak sudah, pejabatnya berlomba lomba korupsi dan presidenya menolak Indonesia gelap cuma berdalil ramalan dan menafikan kenyataan yg terjadi saat ini. Dalam hati udah pasrah sih, udh kasih aja negara ini abis pak prabowo ke gibran, bobi, kaesang, jan estes.",nyesek udahan lihat kondisi negara posisi nang batin pasrah pemerintah susah banget ngertiin rakyat capek aja ngeluhlah plong cape cuy belaga kerja hidup kuliah lulus honorer daftar pppk tidak untung nyesek sandwich generation uang tidak kumpul habis orang tua adik kuliah harrga umr aja tidak balance luar kerja bersihin rumput gaji bikin rumah cuy kabur niat ekonomi halang ekonomi nglamar gaji honorer hasil nol pabrik lamar tidak ada kabar habis interview sisa syarat tidak nyesek indonesia syarat usia gin alam segitu gaji becanda bayar pajak jabat lomba lomba korupsi presidenya tolak indonesia gelap dalil ramal nafi nyata hati pasrah kasih negara habis prabowo gibran bobi kaesang tidak estes,Positif
